Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds▼,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
199,Chad Beebe,MIN,26,WR,14,0,30,20,66.7%,201,10.1,2,12,50.0,40,6.7,1.4,14.4,2,BeebCh00
200,Devin Duvernay,BAL,23,WR,16,3,26,20,76.9%,201,10.1,0,8,46.2,39,7.7,1.3,12.6,0,DuveDe00
201,Brian Hill,ATL,25,RB,16,1,30,25,83.3%,199,8.0,0,7,56.7,26,6.6,1.6,12.4,2,HillBr02
202,Ryan Izzo,NWE,25,TE,12,12,20,13,65.0%,199,15.3,0,6,60.0,50,10.0,1.1,16.6,1,IzzoRy00
203,Miles Sanders,PHI,23,RB,12,11,52,28,53.8%,197,7.0,0,8,34.6,28,3.8,2.3,16.4,4,SandMi01
204,Isaiah Wright,WAS,23,WR,14,6,35,27,77.1%,197,7.3,0,10,48.6,22,5.6,1.9,14.1,3,WrigIs01
205,Tyler Conklin,MIN,25,TE,16,2,26,19,73.1%,194,10.2,1,11,61.5,30,7.5,1.2,12.1,1,ConkTy00
206,Tony Pollard,DAL,23,RB,16,2,40,28,70.0%,193,6.9,1,9,42.5,30,4.8,1.8,12.1,0,PollTo00
207,Bryan Edwards,LVR,22,WR,12,3,15,11,73.3%,193,17.5,1,9,66.7,34,12.9,0.9,16.1,0,EdwaBr01
208,Rex Burkhead,NWE,30,RB,10,0,33,25,75.8%,192,7.7,3,11,39.4,24,5.8,2.5,19.2,0,BurkRe00
209,Cedrick Wilson Jr.,DAL,25,WR,16,0,28,17,60.7%,189,11.1,2,10,53.6,42,6.8,1.1,11.8,0,WilsCe01
210,Olabisi Johnson,MIN,23,WR,16,3,19,14,73.7%,189,13.5,0,9,63.2,29,9.9,0.9,11.8,0,JohnOl00
211,Kerryon Johnson,DET,23,RB,16,2,26,19,73.1%,187,9.8,1,11,46.2,20,7.2,1.2,11.7,1,JohnKe06
212,Mohamed Sanu,2TM,31,WR,10,4,24,17,70.8%,187,11.0,1,13,66.7,21,7.8,1.7,18.7,0,SanuMo00
213,Kalif Raymond,TEN,26,WR,15,3,15,9,60.0%,187,20.8,0,7,53.3,61,12.5,0.6,12.5,0,RaymKa00
214,Deonte Harty,NOR,23,WR,9,2,25,20,80.0%,186,9.3,1,10,60.0,40,7.4,2.2,20.7,3,HarrDe07
215,KhaDarel Hodge,CLE,25,WR,9,0,17,11,64.7%,180,16.4,0,11,64.7,42,10.6,1.2,20.0,0,HodgKh00
216,Latavius Murray,NOR,30,RB,15,7,26,23,88.5%,176,7.7,1,8,50.0,25,6.8,1.5,11.7,1,MurrLa00
217,Mack Hollins,MIA,27,WR,16,2,25,16,64.0%,176,11.0,1,7,56.0,34,7.0,1.0,11.0,1,HollMa00
218,Justin Jackson,LAC,24,RB,9,4,24,19,79.2%,173,9.1,0,7,50.0,34,7.2,2.1,19.2,0,JackJu01
219,KeeSean Johnson,ARI,24,WR,8,1,23,15,65.2%,173,11.5,0,7,47.8,45,7.5,1.9,21.6,0,JohnKe07
220,Adam Trautman,NOR,23,TE,15,6,16,15,93.8%,171,11.4,1,9,68.8,41,10.7,1.0,11.4,0,TrauAd00
221,Tyler Johnson,TAM,22,WR,14,3,17,12,70.6%,169,14.1,2,9,52.9,35,9.9,0.9,12.1,0,JohnTy00
222,Jeff Smith,NYJ,23,WR,12,4,37,17,45.9%,167,9.8,0,9,32.4,21,4.5,1.4,13.9,0,SmitJe03
223,John Hightower,PHI,24,WR,13,4,29,10,34.5%,167,16.7,0,5,27.6,59,5.8,0.8,12.8,0,HighJo00
224,Kalen Ballage,2TM,25,RB,11,2,37,29,78.4%,166,5.7,0,5,37.8,21,4.5,2.6,15.1,1,BallKa00
225,Ronald Jones II,TAM,23,RB,14,13,42,28,66.7%,165,5.9,1,2,31.0,37,3.9,2.0,11.8,2,JoneRo01
226,Todd Gurley,ATL,26,RB,15,15,35,25,71.4%,164,6.6,0,7,42.9,26,4.7,1.7,10.9,2,GurlTo01
227,Dontrelle Inman,WAS,31,WR,10,2,28,18,64.3%,163,9.1,2,11,50.0,17,5.8,1.8,16.3,1,InmaDo00
