Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds▼,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
72,Damiere Byrd,NWE,27,WR,16,14,77,47,61.0%,604,12.9,1,29,50.6,42,7.8,2.9,37.8,3,ByrdDa00
73,Danny Amendola,DET,35,WR,14,5,69,46,66.7%,602,13.1,0,30,52.2,50,8.7,3.3,43.0,0,AmenDa00
74,Laviska Shenault Jr.,JAX,22,WR,14,12,79,58,73.4%,600,10.3,5,33,53.2,36,7.6,4.1,42.9,0,ShenLa00
75,Rashard Higgins,CLE,26,WR,13,6,52,37,71.2%,599,16.2,4,26,69.2,43,11.5,2.8,46.1,3,HiggRa00
76,Gabriel Davis,BUF,21,WR,16,11,62,35,56.5%,599,17.1,7,27,53.2,56,9.7,2.2,37.4,1,DaviGa01
77,J.D. McKissic,WAS,27,RB,16,7,110,80,72.7%,589,7.4,2,32,50.0,29,5.4,5.0,36.8,3,McKiJ.00
78,Robert Tonyan,GNB,26,TE,16,8,59,52,88.1%,586,11.3,11,33,74.6,45,9.9,3.3,36.6,0,TonyRo00
79,Hayden Hurst,ATL,27,TE,16,9,88,56,63.6%,571,10.2,6,35,51.1,42,6.5,3.5,35.7,0,HursHa00
80,Mecole Hardman,KAN,22,WR,16,8,62,41,66.1%,560,13.7,4,23,54.8,49,9.0,2.6,35.0,2,HardMe00
81,Eric Ebron,PIT,27,TE,15,9,91,56,61.5%,558,10.0,5,30,46.2,27,6.1,3.7,37.2,1,EbroEr00
82,Travis Fulgham,PHI,25,WR,13,8,67,38,56.7%,539,14.2,4,26,52.2,42,8.0,2.9,41.5,0,FulgTr00
83,Dallas Goedert,PHI,25,TE,11,9,65,46,70.8%,524,11.4,3,28,60.0,41,8.1,4.2,47.6,0,GoedDa00
84,A.J. Green,CIN,32,WR,16,14,104,47,45.2%,523,11.1,2,34,40.4,33,5.0,2.9,32.7,0,GreeA.00
85,Tyler Higbee,LAR,27,TE,15,15,60,44,73.3%,521,11.8,5,27,61.7,44,8.7,2.9,34.7,0,HigbTy00
86,Jalen Guyton,LAC,23,WR,16,9,55,28,50.9%,511,18.3,3,18,41.8,72,9.3,1.8,31.9,0,GuytJa01
87,Breshad Perriman,NYJ,27,WR,12,12,60,30,50.0%,505,16.8,3,20,36.7,53,8.4,2.5,42.1,0,PerrBr02
88,Jared Cook,NOR,33,TE,15,5,60,37,61.7%,504,13.6,7,27,53.3,46,8.4,2.5,33.6,1,CookJa02
89,Michael Pittman Jr.,IND,23,WR,13,8,61,40,65.6%,503,12.6,1,22,50.8,45,8.2,3.1,38.7,0,PittMi01
90,Scott Miller,TAM,23,WR,16,5,53,33,62.3%,501,15.2,3,20,45.3,48,9.5,2.1,31.3,0,MillSc01
91,Anthony Miller,CHI,26,WR,16,6,76,49,64.5%,485,9.9,2,23,44.7,34,6.4,3.1,30.3,2,MillAn02
92,Antonio Brown,TAM,32,WR,8,4,62,45,72.6%,483,10.7,4,27,61.3,46,7.8,5.6,60.4,0,BrowAn04
93,Nyheim Hines,IND,24,RB,16,2,76,63,82.9%,482,7.7,4,24,53.9,29,6.3,3.9,30.1,0,HineNy00
94,Cam Sims,WAS,24,WR,16,10,48,32,66.7%,477,14.9,1,18,52.1,50,9.9,2.0,29.8,1,SimsCa00
95,Chris Conley,JAX,28,WR,15,4,63,40,63.5%,471,11.8,2,24,58.7,51,7.5,2.7,31.4,1,ConlCh00
96,Demarcus Robinson,KAN,26,WR,16,9,59,45,76.3%,466,10.4,3,26,59.3,28,7.9,2.8,29.1,2,RobiDe01
97,John Brown,BUF,30,WR,9,8,52,33,63.5%,458,13.9,3,22,57.7,46,8.8,3.7,50.9,0,BrowJo02
98,Jimmy Graham,CHI,34,TE,16,15,76,50,65.8%,456,9.1,8,32,56.6,30,6.0,3.1,28.5,1,GrahJi00
99,Henry Ruggs III,LVR,21,WR,13,12,43,26,60.5%,452,17.4,2,13,53.5,72,10.5,2.0,34.8,2,RuggHe00
100,Allen Lazard,GNB,25,WR,10,9,46,33,71.7%,451,13.7,3,23,69.6,72,9.8,3.3,45.1,0,LazaAl00
101,Jonnu Smith,TEN,25,TE,15,14,65,41,63.1%,448,10.9,8,25,55.4,63,6.9,2.7,29.9,0,SmitJo01
102,Tre'Quan Smith,NOR,24,WR,14,10,50,34,68.0%,448,13.2,4,22,54.0,31,9.0,2.4,32.0,1,SmitTr03
103,Randall Cobb,HOU,30,WR,10,2,48,38,79.2%,441,11.6,3,20,70.8,34,9.2,3.8,44.1,0,CobbRa00
104,David Montgomery,CHI,23,RB,15,14,68,54,79.4%,438,8.1,2,25,55.9,28,6.4,3.6,29.2,1,MontDa01
105,Michael Thomas,NOR,27,WR,7,5,55,40,72.7%,438,11.0,0,25,61.8,24,8.0,5.7,62.6,0,ThomMi05
106,Dan Arnold,ARI,25,TE,16,5,45,31,68.9%,438,14.1,4,24,62.2,59,9.7,1.9,27.4,2,ArnoDa00
107,Austin Hooper,CLE,26,TE,13,13,70,46,65.7%,435,9.5,4,27,51.4,36,6.2,3.5,33.5,0,HoopAu00
108,Willie Snead,BAL,28,WR,13,8,48,33,68.8%,432,13.1,3,23,58.3,34,9.0,2.5,33.2,1,SneaWi00
109,Sammy Watkins,KAN,27,WR,10,9,55,37,67.3%,421,11.4,2,27,65.5,37,7.7,3.7,42.1,1,WatkSa00
110,Greg Ward,PHI,25,WR,16,10,79,53,67.1%,419,7.9,6,24,51.9,32,5.3,3.3,26.2,2,WardGr02
111,Gerald Everett,LAR,26,TE,16,7,62,41,66.1%,417,10.2,1,24,51.6,40,6.7,2.6,26.1,1,EverGe00
112,David Moore,SEA,25,WR,16,6,47,35,74.5%,417,11.9,6,18,53.2,57,8.9,2.2,26.1,1,MoorDa03
113,Larry Fitzgerald,ARI,37,WR,13,13,72,54,75.0%,409,7.6,1,25,54.2,18,5.7,4.2,31.5,0,FitzLa00
114,Austin Ekeler,LAC,25,RB,10,10,65,54,83.1%,403,7.5,2,20,53.8,28,6.2,5.4,40.3,1,EkelAu00
115,Jordan Akins,HOU,28,TE,13,5,49,37,75.5%,403,10.9,1,20,65.3,26,8.2,2.8,31.0,0,AkinJo00
116,Chase Edmonds,ARI,24,RB,16,2,67,53,79.1%,402,7.6,4,21,50.7,30,6.0,3.3,25.1,2,EdmoCh00
117,Keke Coutee,HOU,23,WR,8,4,40,33,82.5%,400,12.1,3,19,65.0,64,10.0,4.1,50.0,4,CoutKe00
118,Tyron Johnson,LAC,24,WR,12,0,26,20,76.9%,398,19.9,3,15,61.5,55,15.3,1.7,33.2,0,JohnTy03
119,Jalen Reagor,PHI,21,WR,11,11,54,31,57.4%,396,12.8,1,19,46.3,55,7.3,2.8,36.0,2,ReagJa00
120,Braxton Berrios,NYJ,25,WR,16,2,55,37,67.3%,394,10.6,3,19,49.1,43,7.2,2.3,24.6,0,BerrBr00
121,Mo Alie-Cox,IND,27,TE,15,6,39,31,79.5%,394,12.7,2,19,66.7,45,10.1,2.1,26.3,1,AlieMo00
122,Richie James,SFO,25,WR,11,7,35,23,65.7%,394,17.1,1,15,48.6,47,11.3,2.1,35.8,2,JameRi00
123,James Washington,PIT,24,WR,16,7,56,30,53.6%,392,13.1,5,19,42.9,50,7.0,1.9,24.5,0,WashJa00
124,Deebo Samuel,SFO,24,WR,7,5,44,33,75.0%,391,11.8,1,19,59.1,35,8.9,4.7,55.9,0,SamuDe00
125,Myles Gaskin,MIA,23,RB,10,7,47,41,87.2%,388,9.5,2,12,59.6,59,8.3,4.1,38.8,2,GaskMy00
126,Golden Tate,NYG,32,WR,12,4,52,35,67.3%,388,11.1,2,19,44.2,39,7.5,2.9,32.3,0,TateGo00
127,Anthony Firkser,TEN,25,FB,16,1,53,39,73.6%,387,9.9,1,26,58.5,45,7.3,2.4,24.2,0,FirkAn00
128,KJ Hamler,DEN,21,WR,13,4,56,30,53.6%,381,12.7,3,17,37.5,49,6.8,2.3,29.3,2,HamlKJ00
129,James White,NWE,28,RB,14,0,62,49,79.0%,375,7.7,1,20,41.9,34,6.0,3.5,26.8,1,WhitJa02
130,Mike Davis,CAR,27,RB,15,12,70,59,84.3%,373,6.3,2,17,47.1,23,5.3,3.9,24.9,1,DaviMi01
131,Jakeem Grant,MIA,28,WR,14,4,54,36,66.7%,373,10.4,1,22,53.7,30,6.9,2.6,26.6,2,GranJa00
132,Irv Smith Jr.,MIN,22,TE,13,7,43,30,69.8%,365,12.2,5,22,58.1,36,8.5,2.3,28.1,0,SmitIr01
133,Dalvin Cook*,MIN,25,RB,14,14,54,44,81.5%,361,8.2,1,17,44.4,50,6.7,3.1,25.8,5,CookDa01
134,D'Andre Swift,DET,21,RB,13,4,57,46,80.7%,357,7.8,2,15,47.4,26,6.3,3.5,27.5,3,SwifDA00
135,Denzel Mims,NYJ,23,WR,9,8,44,23,52.3%,357,15.5,0,15,40.9,30,8.1,2.6,39.7,0,MimsDe00
136,Giovani Bernard,CIN,29,RB,16,10,59,47,79.7%,355,7.6,3,15,42.4,42,6.0,2.9,22.2,1,BernGi00
137,Aaron Jones*,GNB,26,RB,14,14,63,47,74.6%,355,7.6,2,15,49.2,30,5.6,3.4,25.4,2,JoneAa00
138,Drew Sample,CIN,24,TE,16,13,53,40,75.5%,349,8.7,1,16,58.5,23,6.6,2.5,21.8,1,SampDr00
139,Tyler Eifert,JAX,30,TE,15,4,60,36,60.0%,349,9.7,2,22,48.3,28,5.8,2.4,23.3,0,EifeTy00
140,Quintez Cephus,DET,22,WR,13,2,35,20,57.1%,349,17.5,2,16,54.3,49,10.0,1.5,26.8,0,CephQu00
141,Richard Rodgers,PHI,28,TE,14,4,31,24,77.4%,345,14.4,2,16,64.5,33,11.1,1.7,24.6,0,RodgRi00
142,James Robinson,JAX,22,RB,14,14,60,49,81.7%,344,7.0,3,15,48.3,28,5.7,3.5,24.6,3,RobiJa00
143,Ezekiel Elliott,DAL,25,RB,15,15,71,52,73.2%,338,6.5,2,20,52.1,19,4.8,3.5,22.5,6,ElliEz00
144,Kenny Golladay,DET,27,WR,5,5,32,20,62.5%,338,16.9,2,16,53.1,48,10.6,4.0,67.6,0,GollKe00
145,Zach Ertz,PHI,30,TE,11,11,72,36,50.0%,335,9.3,1,16,38.9,42,4.7,3.3,30.5,0,ErtzZa00
146,Kyle Rudolph,MIN,31,TE,12,12,37,28,75.7%,334,11.9,1,16,64.9,25,9.0,2.3,27.8,1,RudoKy00
147,Odell Beckham Jr.,CLE,28,WR,7,7,43,23,53.5%,319,13.9,3,17,44.2,43,7.4,3.3,45.6,0,BeckOd00
148,Julian Edelman,NWE,34,WR,6,1,39,21,53.8%,315,15.0,0,18,51.3,49,8.1,3.5,52.5,0,EdelJu00
149,David Johnson,HOU,29,RB,12,12,46,33,71.7%,314,9.5,2,16,54.3,32,6.8,2.8,26.2,2,JohnDa08
150,Darren Fells,HOU,34,TE,16,14,28,21,75.0%,312,14.9,4,16,71.4,44,11.1,1.3,19.5,0,FellDa01
151,N'Keal Harry,NWE,23,WR,14,9,57,33,57.9%,309,9.4,2,15,49.1,30,5.4,2.4,22.1,1,HarrNK00
152,Kareem Hunt,CLE,25,RB,16,5,51,38,74.5%,304,8.0,5,19,54.9,26,6.0,2.4,19.0,2,HuntKa00
153,Donovan Peoples-Jones,CLE,21,WR,12,2,20,14,70.0%,304,21.7,2,10,60.0,75,15.2,1.2,25.3,0,PeopDo00
154,Marvin Hall,2TM,27,WR,12,6,32,18,56.3%,302,16.8,2,10,53.1,73,9.4,1.5,25.2,0,HallMa02
155,Jonathan Taylor,IND,21,RB,15,13,39,36,92.3%,299,8.3,1,12,51.3,39,7.7,2.4,19.9,1,TaylJo02
156,Clyde Edwards-Helaire,KAN,21,RB,13,13,54,36,66.7%,297,8.3,1,12,44.4,26,5.5,2.8,22.8,0,EdwaCl00
157,DaeSean Hamilton,DEN,25,WR,16,2,44,23,52.3%,293,12.7,2,16,47.7,40,6.7,1.4,18.3,1,HamiDa01
158,Dawson Knox,BUF,24,TE,12,7,44,24,54.5%,288,12.0,3,14,50.0,36,6.5,2.0,24.0,2,KnoxDa00
159,Preston Williams,MIA,23,WR,8,7,35,18,51.4%,288,16.0,4,14,45.7,47,8.2,2.3,36.0,0,WillPr01
160,Chris Carson,SEA,26,RB,12,12,46,37,80.4%,287,7.8,4,14,58.7,29,6.2,3.1,23.9,1,CarsCh00
161,Chris Herndon,NYJ,24,TE,16,13,45,31,68.9%,287,9.3,3,17,55.6,26,6.4,1.9,17.9,2,HernCh00
162,Isaiah McKenzie,BUF,25,WR,16,7,34,30,88.2%,282,9.4,5,17,64.7,46,8.3,1.9,17.6,0,McKeIs00
163,Cameron Brate,TAM,29,TE,16,1,34,28,82.4%,282,10.1,2,17,70.6,25,8.3,1.8,17.6,0,BratCa00
164,Isaiah Ford,MIA,24,WR,10,1,44,28,63.6%,276,9.9,0,18,59.1,18,6.3,2.8,27.6,0,FordIs00
165,Olamide Zaccheaus,ATL,23,WR,11,2,32,20,62.5%,274,13.7,1,16,56.3,51,8.6,1.8,24.9,0,ZaccOl01
166,Collin Johnson,JAX,23,WR,14,0,31,18,58.1%,272,15.1,2,12,51.6,46,8.8,1.3,19.4,0,JohnCo01
167,Devin Singletary,BUF,23,RB,16,16,50,38,76.0%,269,7.1,0,8,56.0,34,5.4,2.4,16.8,1,SingDe00
168,Miles Boykin,BAL,24,WR,16,13,33,19,57.6%,266,14.0,4,14,48.5,43,8.1,1.2,16.6,0,BoykMi00
169,Steven Sims,WAS,23,WR,12,2,37,27,73.0%,265,9.8,1,13,51.4,30,7.2,2.3,22.1,4,SimsSt00
170,James O'Shaughnessy,JAX,28,TE,15,13,38,28,73.7%,262,9.4,0,12,63.2,26,6.9,1.9,17.5,0,O'ShJa00
171,Marcus Johnson,IND,26,WR,11,3,28,14,50.0%,255,18.2,0,11,46.4,55,9.1,1.3,23.2,0,JohnMa07
172,Jerick McKinnon,SFO,28,RB,16,4,46,33,71.7%,253,7.7,1,12,45.7,26,5.5,2.1,15.8,0,McKiJe00
173,Will Dissly,SEA,24,TE,16,12,29,24,82.8%,251,10.5,2,12,62.1,28,8.7,1.5,15.7,0,DissWi00
174,Jack Doyle,IND,30,TE,14,12,33,23,69.7%,251,10.9,3,13,63.6,28,7.6,1.6,17.9,1,DoylJa00
175,Trey Burton,IND,29,TE,13,4,47,28,59.6%,250,8.9,3,14,48.9,20,5.3,2.2,19.2,0,BurtTr01
176,Duke Johnson,HOU,27,RB,11,5,35,28,80.0%,249,8.9,1,8,54.3,48,7.1,2.5,22.6,3,JohnDu00
177,Antonio Gibson,WAS,22,RB,14,10,44,36,81.8%,247,6.9,0,8,43.2,40,5.6,2.6,17.6,1,GibsAn00
178,Ross Dwelley,SFO,25,TE,16,9,24,19,79.2%,245,12.9,1,10,62.5,36,10.2,1.2,15.3,0,DwelRo00
179,Cole Kmet,CHI,21,TE,16,9,44,28,63.6%,243,8.7,2,12,54.5,38,5.5,1.8,15.2,1,KmetCo00
180,Greg Olsen,SEA,35,TE,11,8,37,24,64.9%,239,10.0,1,16,59.5,22,6.5,2.2,21.7,0,OlseGr00
181,Josh Jacobs*,LVR,22,RB,15,15,45,33,73.3%,238,7.2,0,9,46.7,29,5.3,2.2,15.9,2,JacoJo01
182,Harrison Bryant,CLE,22,TE,15,9,38,24,63.2%,238,9.9,3,14,57.9,35,6.3,1.6,15.9,2,BryaHa00
183,Jamaal Williams,GNB,25,RB,14,3,35,31,88.6%,236,7.6,1,11,51.4,29,6.7,2.2,16.9,0,WillJa06
184,Chad Hansen,HOU,25,WR,5,2,24,17,70.8%,236,13.9,1,11,66.7,38,9.8,3.4,47.2,0,HansCh00
185,DeSean Jackson,PHI,34,WR,5,5,26,14,53.8%,236,16.9,1,10,46.2,81,9.1,2.8,47.2,0,JackDe00
186,Leonard Fournette,TAM,25,RB,13,3,47,36,76.6%,233,6.5,0,9,48.9,20,5.0,2.8,17.9,0,FourLe00
187,Jordan Reed,SFO,30,TE,10,1,46,26,56.5%,231,8.9,4,16,43.5,26,5.0,2.6,23.1,0,ReedJo02
188,Adam Humphries,TEN,27,WR,7,1,35,23,65.7%,228,9.9,2,11,54.3,23,6.5,3.3,32.6,0,HumpAd00
189,Andy Isabella,ARI,24,WR,13,2,35,21,60.0%,224,10.7,2,10,40.0,54,6.4,1.6,17.2,1,IsabAn00
190,Van Jefferson,LAR,24,WR,16,0,31,19,61.3%,220,11.6,1,11,54.8,31,7.1,1.2,13.8,1,JeffVa00
191,James Conner,PIT,25,RB,13,11,43,35,81.4%,215,6.1,0,10,41.9,18,5.0,2.7,16.5,2,ConnJa00
192,Marquez Callaway,NOR,22,WR,11,3,27,21,77.8%,213,10.1,0,10,70.4,27,7.9,1.9,19.4,0,CallMa01
193,David Njoku,CLE,24,TE,13,5,29,19,65.5%,213,11.2,2,13,58.6,28,7.3,1.5,16.4,0,NjokDa00
194,Boston Scott,PHI,25,RB,16,4,36,25,69.4%,212,8.5,1,8,41.7,18,5.9,1.6,13.3,2,ScotBo02
195,Lynn Bowden Jr.,MIA,23,WR,10,4,37,28,75.7%,211,7.5,0,13,51.4,22,5.7,2.8,21.1,0,BowdLy00
196,Jacob Hollister,SEA,27,TE,16,5,40,25,62.5%,209,8.4,3,14,50.0,20,5.2,1.6,13.1,0,HollJa03
197,Durham Smythe,MIA,25,TE,15,13,29,26,89.7%,208,8.0,2,13,75.9,19,7.2,1.7,13.9,0,SmytDu00
198,Kyle Juszczyk*,SFO,29,FB,16,15,29,19,65.5%,202,10.6,4,10,58.6,41,7.0,1.2,12.6,1,JuszKy00
