Rk,Player,Tm,Age,Pos,G,GS,Att,Yds▼,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999
58,Kareem Hunt,CLE,26,RB,8,1,78,386,5,22,47.4,33,4.9,48.3,0,HuntKa00
59,Patrick Mahomes*,KAN,26,QB,17,17,66,381,2,25,50.0,32,5.8,22.4,9,MahoPa00
60,Taysom Hill,NOR,31,QB,12,9,70,374,5,26,61.4,44,5.3,31.2,2,HillTa00
61,Boston Scott,PHI,26,RB,16,4,87,373,7,24,56.3,23,4.3,23.3,1,ScotBo02
62,Deebo Samuel*+,SFO,25,WR,16,15,59,365,8,21,54.2,49,6.2,22.8,4,SamuDe00
63,Justin Jackson,LAC,25,RB,14,2,68,364,2,18,50.0,75,5.4,26.0,1,JackJu01
64,Tevin Coleman,NYJ,28,RB,11,5,84,356,0,19,53.6,20,4.2,32.4,0,ColeTe01
65,Dontrell Hilliard,TEN,26,RB,8,5,56,350,2,15,46.4,68,6.3,43.8,2,HillDo00
66,Zack Moss,BUF,24,RB,13,0,96,345,4,22,49.0,17,3.6,26.5,2,MossZa00
67,Trevor Lawrence,JAX,22,QB,17,17,73,334,2,22,50.7,26,4.6,19.6,9,LawrTr00
68,Duke Johnson,MIA,28,RB,5,4,71,330,3,18,49.3,27,4.6,66.0,0,JohnDu00
69,Taylor Heinicke,WAS,28,QB,16,15,60,313,1,20,46.7,38,5.2,19.6,7,HeinTa00
70,Justin Herbert*,LAC,23,QB,17,17,63,302,3,28,58.7,36,4.8,17.8,1,HerbJu00
71,Daniel Jones,NYG,24,QB,11,11,62,298,2,16,48.4,46,4.8,27.1,7,JoneDa05
72,Jeff Wilson,SFO,26,RB,9,4,79,294,2,19,50.6,17,3.7,32.7,1,WilsJe01
73,Tyler Huntley,BAL,23,QB,7,4,47,294,2,22,55.3,21,6.3,42.0,4,HuntTy01
74,Kenneth Gainwell,PHI,22,RB,16,1,68,291,5,19,50.0,18,4.3,18.2,2,GainKe00
75,Nyheim Hines,IND,25,RB,17,4,56,276,2,15,48.2,34,4.9,16.2,3,HineNy00
76,Ryan Tannehill,TEN,33,QB,17,17,55,270,7,33,65.5,28,4.9,15.9,10,TannRy00
