Rk,Player,Tm,Age,Pos,G,GS,Att,Yds▼,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999
251,Jacques Patrick,SFO,24,RB,2,0,2,12,0,1,100.0,8,6.0,6.0,0,PatrJa01
252,Terry McLaurin,WAS,26,WR,17,17,1,12,0,1,100.0,12,12.0,0.7,0,McLaTe00
253,Buddy Howell,LAR,25,RB,10,0,5,11,0,0,0.0,4,2.2,1.1,0,HoweGr00
254,Mekhi Sargent,3TM,24,RB,7,0,5,11,0,1,20.0,3,2.2,1.6,0,SargMe00
255,Curtis Samuel,WAS,25,WR,5,1,4,11,0,0,50.0,8,2.8,2.2,0,SamuCu00
256,Nelson Agholor,NWE,28,WR,15,13,3,11,0,0,33.3,6,3.7,0.7,0,AghoNe00
257,Tommy Tremble,CAR,21,TE,16,11,3,11,1,1,66.7,7,3.7,0.7,0,TremTo00
258,Kyle Allen,WAS,25,QB,2,0,2,11,0,1,50.0,11,5.5,5.5,1,AlleKy00
259,Cedrick Wilson Jr.,DAL,26,WR,16,4,2,11,0,1,50.0,6,5.5,0.7,3,WilsCe01
260,Jaelon Darden,TAM,22,WR,9,0,1,11,0,1,100.0,11,11.0,1.2,0,DardJa00
261,Christian Kirk,ARI,25,WR,17,11,1,11,0,1,100.0,11,11.0,0.6,0,KirkCh01
262,Amari Rodgers,GNB,22,WR,16,1,1,11,0,1,100.0,11,11.0,0.7,2,RodgAm00
263,Blake Bell,KAN,30,TE,16,5,4,10,0,4,100.0,3,2.5,0.6,0,BellBl00
264,A.J. Brown,TEN,24,WR,13,13,2,10,0,1,50.0,7,5.0,0.8,0,BrowAJ00
265,Mike Evans*,TAM,28,WR,16,16,1,10,0,1,100.0,10,10.0,0.6,0,EvanMi00
266,K.J. Osborn,MIN,24,WR,17,9,1,10,0,1,100.0,10,10.0,0.6,0,OsboKJ00
267,Jaylen Samuels,HOU,25,RB,3,0,5,9,0,0,0.0,3,1.8,3.0,0,SamuJa00
268,Sam Ehlinger,IND,23,QB,3,0,3,9,0,1,66.7,9,3.0,3.0,0,EhliSa00
269,JuJu Smith-Schuster,PIT,25,WR,5,5,3,9,1,1,33.3,3,3.0,1.8,0,SmitJu00
270,Tyler Lockett,SEA,29,WR,16,16,2,9,0,0,50.0,7,4.5,0.6,0,LockTy00
271,Jakobi Meyers,NWE,25,WR,17,16,1,9,0,0,100.0,9,9.0,0.5,1,MeyeJa01
272,Gunner Olszewski,NWE,25,WR,16,0,1,9,0,0,100.0,9,9.0,0.6,3,OlszGu00
273,Trey Ragas,LVR,25,RB,1,0,1,9,0,1,100.0,9,9.0,9.0,0,RagaTr00
274,Chester Rogers,TEN,27,WR,16,2,1,9,0,0,100.0,9,9.0,0.6,4,RogeCh02
275,Nick Foles,CHI,32,QB,1,1,4,8,0,1,50.0,8,2.0,8.0,1,FoleNi00
276,Gabe Nabers,LAC,24,FB,10,1,3,8,0,1,66.7,4,2.7,0.8,0,NabeGa00
277,Damarea Crockett,DEN,24,RB,12,0,3,7,0,0,33.3,6,2.3,0.6,0,CrocDa01
278,Darrynton Evans,TEN,23,RB,1,0,2,7,0,0,0.0,5,3.5,7.0,0,EvanDa02
279,Cam Sims,WAS,25,WR,14,3,1,7,0,0,100.0,7,7.0,0.5,0,SimsCa00
280,Tremon Smith,HOU,25,DB,17,2,1,7,0,0,100.0,7,7.0,0.4,0,SmitTr04
281,Preston Williams,MIA,24,WR,8,3,1,7,0,0,100.0,7,7.0,0.9,0,WillPr01
282,Khari Blasingame,TEN,25,RB,11,3,3,6,0,1,33.3,3,2.0,0.5,1,BlasKh00
283,Ian Book,NOR,23,QB,1,1,3,6,0,1,33.3,3,2.0,6.0,0,BookIa00
284,Feleipe Franks,ATL,24,QB,9,0,3,6,0,0,0.0,4,2.0,0.7,0,FranFe00
285,Chris Streveler,ARI,26,QB,2,0,3,6,0,0,0.0,4,2.0,3.0,1,StreCh00
286,Kadarius Toney,NYG,22,WR,10,4,3,6,0,0,0.0,7,2.0,0.6,0,ToneKa00
287,Dallin Leavitt,LVR,27,DB,16,1,2,6,0,2,100.0,4,3.0,0.4,0,LeavDa00
288,David Blough,DET,26,QB,1,0,1,6,0,0,100.0,6,6.0,6.0,1,BlouDa00
289,C.J. Board,NYG,28,WR,6,1,1,6,0,0,100.0,6,6.0,1.0,0,BoarC.00
290,Antonio Brown,TAM,33,WR,7,3,1,6,0,0,100.0,6,6.0,0.9,0,BrowAn04
291,D.K. Metcalf,SEA,24,WR,17,17,1,6,0,0,100.0,6,6.0,0.4,1,MetcDK00
292,Josh Palmer,LAC,22,WR,17,5,1,6,0,0,100.0,6,6.0,0.4,0,PalmJo00
293,Ben Roethlisberger,PIT,39,QB,16,16,20,5,1,3,20.0,8,0.3,0.3,11,RoetBe00
294,Adam Prentice,NOR,24,FB,7,3,3,5,0,2,66.7,2,1.7,0.7,0,PrenAd00
295,Johnny Stanton,CLE,27,RB,4,0,3,5,0,2,66.7,3,1.7,1.3,0,StanJo02
296,Jake Funk,LAR,23,RB,10,0,2,5,0,0,50.0,6,2.5,0.5,0,FunkJa00
297,Marquise Brown,BAL,24,WR,16,16,1,5,0,1,100.0,5,5.0,0.3,3,BrowMa04
298,Trenton Cannon,2TM,27,RB,12,0,3,4,0,0,33.3,3,1.3,0.3,1,CannTr00
299,Patrick Ricard*,BAL,27,FB,13,11,2,4,0,2,100.0,2,2.0,0.3,0,RicaPa00
300,Reggie Bonnafon,CAR,25,RB,4,0,1,4,0,0,100.0,4,4.0,1.0,0,BonnRe00
301,Gary Brightwell,NYG,22,RB,13,0,1,4,0,0,100.0,4,4.0,0.3,0,BrigGa00
302,Zach Ertz,2TM,31,TE,17,14,1,4,0,0,100.0,4,4.0,0.2,0,ErtzZa00
303,DeSean Jackson,2TM,35,WR,16,4,1,4,0,0,100.0,4,4.0,0.3,1,JackDe00
304,Patrick Laird,MIA,26,RB,6,0,1,4,0,0,100.0,4,4.0,0.7,0,LairPa00
305,Braden Mann,NYJ,24,P,10,0,1,4,0,0,0.0,4,4.0,0.4,0,MannBr01
306,Ryan Nall,CHI,26,RB,9,0,1,4,0,0,100.0,4,4.0,0.4,0,NallRy00
307,Ito Smith,DAL,26,RB,1,0,1,4,1,1,100.0,4,4.0,4.0,0,SmitIt00
308,Andrew Wingard,JAX,25,SS,15,15,1,4,0,1,100.0,4,4.0,0.3,0,WingAn01
309,Cam Akers,LAR,22,RB,1,0,5,3,0,0,0.0,2,0.6,3.0,0,AkerCa00
310,Reggie Gilliam,BUF,24,FB,16,5,3,3,0,0,0.0,2,1.0,0.2,0,GillRe00
311,Anthony McFarland Jr.,PIT,22,RB,2,0,3,3,0,0,0.0,3,1.0,1.5,0,McFaAn00
312,Hunter Renfrow*,LVR,26,WR,17,9,3,3,0,0,33.3,5,1.0,0.2,5,RenfHu00
313,Joe Flacco,NYJ,36,QB,2,1,2,3,0,1,50.0,2,1.5,1.5,1,FlacJo00
314,Jerry Jeudy,DEN,22,WR,10,5,2,3,0,0,0.0,3,1.5,0.3,1,JeudJe00
315,Zay Jones,LVR,26,WR,17,9,2,3,0,0,50.0,4,1.5,0.2,1,JoneZa00
316,Travis Kelce*,KAN,32,TE,16,16,2,3,1,1,50.0,4,1.5,0.2,1,KelcTr00
317,Durham Smythe,MIA,26,TE,17,12,2,3,0,2,100.0,2,1.5,0.2,0,SmytDu00
318,Jaylen Waddle,MIA,23,WR,16,16,2,3,1,1,50.0,2,1.5,0.2,2,WaddJa00
319,Jordan Akins,HOU,29,TE,13,3,1,3,0,1,100.0,3,3.0,0.2,2,AkinJo00
320,Chris Conley,HOU,29,WR,16,10,1,3,0,1,100.0,3,3.0,0.2,1,ConlCh00
321,Pharoh Cooper,NYG,26,WR,8,0,1,3,0,0,0.0,3,3.0,0.4,0,CoopPh00
322,Nathan Cottrell,JAX,25,RB,4,0,1,3,0,0,0.0,3,3.0,0.8,0,CottNa00
323,Maurice Ffrench,LAC,23,WR,3,0,1,3,0,0,0.0,3,3.0,1.0,0,FfreMa00
324,Stanley Morgan Jr.,CIN,25,WR,17,1,1,3,0,0,100.0,3,3.0,0.2,0,MorgSt02
325,Quez Watkins,PHI,23,WR,17,12,1,3,0,0,0.0,3,3.0,0.2,0,WatkQu00
326,Nathan Peterman,LVR,27,QB,1,0,2,2,0,1,50.0,1,1.0,2.0,0,PeteNa00
327,C.J. Beathard,JAX,28,QB,2,0,1,2,0,0,0.0,2,2.0,1.0,0,BeatC.00
328,Ryan Fitzpatrick,WAS,39,QB,1,1,1,2,0,0,0.0,2,2.0,2.0,1,FitzRy00
329,Adam Thielen,MIN,31,WR,13,13,1,2,0,0,0.0,2,2.0,0.2,1,ThieAd00
330,Olamide Zaccheaus,ATL,24,WR,17,8,1,2,0,1,100.0,2,2.0,0.1,0,ZaccOl01
331,Alec Ingold,LVR,25,FB,9,3,2,1,0,1,50.0,1,0.5,0.1,0,IngoAl01
332,Randall Cobb,GNB,31,WR,12,3,1,1,0,0,0.0,1,1.0,0.1,1,CobbRa00
333,Eric Ebron,PIT,28,TE,8,3,1,1,1,1,100.0,1,1.0,0.1,0,EbroEr00
334,Dax Milne,WAS,22,WR,13,1,1,1,0,0,0.0,1,1.0,0.1,1,MilnDa00
335,David Njoku,CLE,25,TE,16,11,1,1,0,0,0.0,1,1.0,0.1,0,NjokDa00
336,Michael Palardy,MIA,29,P,17,0,1,1,0,0,0.0,1,1.0,0.1,0,PalaMi00
337,Kenny Stills,NOR,29,WR,13,4,1,1,0,0,0.0,1,1.0,0.1,0,StilKe00
338,Derek Watt,PIT,29,RB,17,4,1,1,0,1,100.0,1,1.0,0.1,0,WattDe00
339,Chad Henne,KAN,36,QB,4,0,8,0,0,0,12.5,4,0.0,0.0,2,HennCh01
340,Kenjon Barner,TAM,32,RB,3,0,4,0,0,0,0.0,1,0.0,0.0,0,BarnKe00
341,Andy Janovich,CLE,28,RB,13,3,2,0,1,1,50.0,1,0.0,0.0,0,JanoAn00
342,Mark Andrews*+,BAL,26,TE,17,9,1,0,0,0,0.0,0,0.0,0.0,1,AndrMa00
343,Phillip Dorsett,3TM,28,WR,6,0,1,0,0,0,0.0,0,0.0,0.0,0,DorsPh00
344,Bryan Edwards,LVR,23,WR,16,12,1,0,0,0,0.0,0,0.0,0.0,1,EdwaBr01
345,Clayton Fejedelem,MIA,28,DB,17,0,1,0,0,0,0.0,0,0.0,0.0,1,FejeCl00
346,Jamie Gillan,CLE,24,P,12,0,1,0,0,0,0.0,-8,0.0,0.0,1,GillJa00
347,Johnny Hekker,LAR,31,P,17,0,1,0,0,0,0.0,0,0.0,0.0,1,HekkJo00
348,Cole Kmet,CHI,22,TE,17,17,1,0,0,0,0.0,0,0.0,0.0,0,KmetCo00
349,Andy Lee,ARI,39,P,16,0,1,0,0,0,0.0,0,0.0,0.0,3,LeexAn20
350,Brandon Allen,CIN,29,QB,6,1,7,-1,0,1,14.3,3,-0.1,-0.2,1,AlleBr00
351,Mike White,NYJ,26,QB,4,3,5,-1,0,2,40.0,2,-0.2,-0.3,0,WhitMi01
352,Kurt Benkert,GNB,26,QB,1,0,2,-1,0,0,0.0,0,-0.5,-1.0,0,BenkKu01
353,Marquise Goodwin,CHI,31,WR,14,2,2,-1,0,0,0.0,1,-0.5,-0.1,1,GoodMa00
354,John Wolford,LAR,26,QB,3,0,2,-1,0,0,0.0,0,-0.5,-0.3,0,WolfJo00
355,Nate McCrary,BAL,22,RB,1,0,1,-1,0,0,0.0,-1,-1.0,-1.0,0,McCrNa00
356,Jeff Smith,NYJ,24,WR,12,3,1,-1,0,0,0.0,-1,-1.0,-0.1,0,SmitJe03
357,Chase Daniel,LAC,35,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,0,DaniCh00
358,Marcus Johnson,TEN,27,WR,7,3,2,-2,0,1,50.0,5,-1.0,-0.3,0,JohnMa07
359,Davis Webb,BUF,26,QB,1,0,2,-3,0,0,0.0,-1,-1.5,-3.0,0,WebbDa00
360,Alex Bachman,NYG,25,WR,3,0,1,-3,0,0,0.0,-3,-3.0,-1.0,0,BachAl00
361,Evan Engram,NYG,27,TE,15,12,1,-3,0,0,0.0,-3,-3.0,-0.2,1,EngrEv00
362,Devine Ozigbo,2TM,25,RB,3,0,1,-3,0,0,0.0,0,-3.0,-1.0,0,OzigDe01
363,Breshad Perriman,TAM,28,WR,6,0,1,-3,0,0,0.0,-3,-3.0,-0.5,0,PerrBr02
364,Shi Smith,CAR,23,WR,6,0,1,-3,0,0,0.0,-3,-3.0,-0.5,0,SmitSh03
365,Dyami Brown,WAS,22,WR,15,6,1,-4,0,0,0.0,-4,-4.0,-0.3,0,BrowDy00
366,Logan Woodside,TEN,26,QB,5,0,6,-6,0,0,0.0,-1,-1.0,-1.2,0,WoodLo00
367,Blaine Gabbert,TAM,32,QB,6,0,9,-7,0,0,0.0,0,-0.8,-1.2,0,GabbBl00
368,Brian Hoyer,NWE,36,QB,5,0,11,-8,0,1,9.1,2,-0.7,-1.6,0,HoyeBr00
369,Cooper Rush,DAL,28,QB,5,1,9,-8,0,0,0.0,2,-0.9,-1.6,1,RushCo00
370,Sterling Shepard,NYG,28,WR,7,6,1,-9,0,0,0.0,-9,-9.0,-1.3,0,ShepSt00
371,Darius Slayton,NYG,24,WR,13,5,1,-13,0,0,0.0,-13,-13.0,-1.0,1,SlayDa01
