Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds▼,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Justin Jefferson*+,MIN,23,WR,17,17,184,128,69.6%,1809,14.1,8,80,57.6,64,9.8,7.5,106.4,0,JeffJu00
2,Tyreek Hill*+,MIA,28,WR,17,17,170,119,70.0%,1710,14.4,7,77,56.5,64,10.1,7.0,100.6,1,HillTy00
3,Davante Adams*+,LVR,30,WR,17,17,180,100,55.6%,1516,15.2,14,65,46.1,60,8.4,5.9,89.2,1,AdamDa01
4,A.J. Brown*,PHI,25,WR,17,16,145,88,60.7%,1496,17.0,11,59,51.7,78,10.3,5.2,88.0,2,BrowAJ00
5,Stefon Diggs*,BUF,29,WR,16,16,154,108,70.1%,1429,13.2,11,74,64.3,53,9.3,6.8,89.3,1,DiggSt00
6,CeeDee Lamb*,DAL,23,WR,17,17,156,107,68.6%,1359,12.7,9,67,55.1,39,8.7,6.3,79.9,0,LambCe00
7,Jaylen Waddle,MIA,24,WR,17,17,117,75,64.1%,1356,18.1,8,60,54.7,84,11.6,4.4,79.8,1,WaddJa00
8,Travis Kelce*+,KAN,33,TE,17,17,152,110,72.4%,1338,12.2,12,78,63.2,52,8.8,6.5,78.7,1,KelcTr00
9,DeVonta Smith,PHI,24,WR,17,17,136,95,69.9%,1196,12.6,7,57,54.4,45,8.8,5.6,70.4,1,SmitDe07
10,Terry McLaurin*,WAS,27,WR,17,17,120,77,64.2%,1191,15.5,5,56,55.0,52,9.9,4.5,70.1,1,McLaTe00
11,Amon-Ra St. Brown*,DET,23,WR,16,16,146,106,72.6%,1161,11.0,6,68,62.3,49,8.0,6.6,72.6,0,StxxAm00
12,Amari Cooper,CLE,28,WR,17,17,132,78,59.1%,1160,14.9,9,61,53.0,55,8.8,4.6,68.2,0,CoopAm00
13,Mike Evans,TAM,29,WR,15,15,127,77,60.6%,1124,14.6,6,53,54.3,63,8.9,5.1,74.9,0,EvanMi00
14,Christian Kirk,JAX,26,WR,17,17,133,84,63.2%,1108,13.2,8,55,52.6,49,8.3,4.9,65.2,1,KirkCh01
15,Garrett Wilson,NYJ,22,WR,17,12,147,83,56.5%,1103,13.3,4,56,47.6,60,7.5,4.9,64.9,2,WilsGa00
16,D.K. Metcalf,SEA,25,WR,17,17,141,90,63.8%,1048,11.6,6,47,49.6,54,7.4,5.3,61.6,2,MetcDK00
17,Ja'Marr Chase*,CIN,22,WR,12,12,134,87,64.9%,1046,12.0,9,58,55.2,60,7.8,7.3,87.2,2,ChasJa00
18,Chris Olave,NOR,22,WR,15,9,119,72,60.5%,1042,14.5,4,48,53.8,53,8.8,4.8,69.5,2,OlavCh00
19,Tyler Lockett,SEA,30,WR,16,16,117,84,71.8%,1033,12.3,9,50,60.7,40,8.8,5.3,64.6,2,LockTy00
20,Tee Higgins,CIN,23,WR,16,14,109,74,67.9%,1029,13.9,7,47,59.6,59,9.4,4.6,64.3,0,HiggTe00
21,Chris Godwin,TAM,26,WR,15,13,142,104,73.2%,1023,9.8,3,53,60.6,44,7.2,6.9,68.2,2,GodwCh00
22,Brandon Aiyuk,SFO,24,WR,17,17,114,78,68.4%,1015,13.0,8,47,59.6,54,8.9,4.6,59.7,1,AiyuBr00
23,Jerry Jeudy,DEN,23,WR,15,14,100,67,67.0%,972,14.5,6,41,52.0,67,9.7,4.5,64.8,0,JeudJe00
24,JuJu Smith-Schuster,KAN,26,WR,16,14,101,78,77.2%,933,12.0,3,47,67.3,53,9.2,4.9,58.3,3,SmitJu00
25,Michael Pittman Jr.,IND,25,WR,16,16,141,99,70.2%,925,9.3,4,51,53.9,28,6.6,6.2,57.8,2,PittMi01
26,T.J. Hockenson*,2TM,25,TE,17,14,129,86,66.7%,914,10.6,6,44,47.3,81,7.1,5.1,53.8,1,HockTJ00
27,Mike Williams,LAC,28,WR,13,13,93,63,67.7%,895,14.2,4,39,59.1,55,9.6,4.8,68.8,0,WillMi07
28,D.J. Moore,CAR,25,WR,17,17,118,63,53.4%,888,14.1,7,44,43.2,62,7.5,3.7,52.2,0,MoorD.00
29,Diontae Johnson,PIT,26,WR,17,17,147,86,58.5%,882,10.3,0,45,49.0,37,6.0,5.1,51.9,1,JohnDi01
30,Drake London,ATL,21,WR,17,15,117,72,61.5%,866,12.0,4,48,56.4,40,7.4,4.2,50.9,3,LondDr00
31,Mark Andrews*,BAL,27,TE,15,15,113,73,64.6%,847,11.6,5,48,56.6,36,7.5,4.9,56.5,1,AndrMa00
32,Donovan Peoples-Jones,CLE,23,WR,17,14,96,61,63.5%,839,13.8,3,33,50.0,42,8.7,3.6,49.4,1,PeopDo00
33,Gabriel Davis,BUF,23,WR,15,15,93,48,51.6%,836,17.4,7,35,51.6,98,9.0,3.2,55.7,1,DaviGa01
34,Courtland Sutton,DEN,27,WR,15,15,109,64,58.7%,829,13.0,2,38,46.8,51,7.6,4.3,55.3,0,SuttCo00
35,Zay Jones,JAX,27,WR,16,15,121,82,67.8%,823,10.0,5,44,54.5,59,6.8,5.1,51.4,0,JoneZa00
36,Cooper Kupp,LAR,29,WR,9,9,98,75,76.5%,812,10.8,6,42,62.2,75,8.3,8.3,90.2,2,KuppCo00
37,Jakobi Meyers,NWE,26,WR,14,13,96,67,69.8%,804,12.0,6,38,56.3,48,8.4,4.8,57.4,2,MeyeJa01
38,George Pickens,PIT,21,WR,17,12,84,52,61.9%,801,15.4,4,38,48.8,42,9.5,3.1,47.1,0,PickGe00
39,Allen Lazard,GNB,27,WR,15,15,100,60,60.0%,788,13.1,6,45,55.0,47,7.9,4.0,52.5,0,LazaAl00
40,Josh Palmer,LAC,23,WR,16,11,107,72,67.3%,769,10.7,3,39,55.1,50,7.2,4.5,48.1,1,PalmJo00
41,Evan Engram,JAX,28,TE,17,14,98,73,74.5%,766,10.5,4,33,55.1,36,7.8,4.3,45.1,0,EngrEv00
42,George Kittle*,SFO,29,TE,15,15,86,60,69.8%,765,12.8,11,36,58.1,54,8.9,4.0,51.0,1,KittGe00
43,Tyler Boyd,CIN,28,WR,16,14,82,58,70.7%,762,13.1,5,42,62.2,60,9.3,3.6,47.6,0,BoydTy00
44,Keenan Allen,LAC,30,WR,10,10,89,66,74.2%,752,11.4,4,39,56.2,46,8.4,6.6,75.2,1,AlleKe00
45,Christian McCaffrey*,2TM,26,RB,17,16,108,85,78.7%,741,8.7,5,36,52.8,49,6.9,5.0,43.6,1,McCaCh01
46,Pat Freiermuth,PIT,24,TE,16,8,98,63,64.3%,732,11.6,2,37,53.1,57,7.5,3.9,45.8,0,FreiPa00
47,Darius Slayton,NYG,25,WR,16,11,71,46,64.8%,724,15.7,2,30,57.7,55,10.2,2.9,45.3,2,SlayDa01
48,Austin Ekeler,LAC,27,RB,17,17,127,107,84.3%,722,6.7,5,36,48.0,23,5.7,6.3,42.5,5,EkelAu00
49,DeAndre Hopkins,ARI,30,WR,9,9,96,64,66.7%,717,11.2,3,35,54.2,33,7.5,7.1,79.7,2,HopkDe00
50,Adam Thielen,MIN,32,WR,17,17,107,70,65.4%,716,10.2,6,45,49.5,36,6.7,4.1,42.1,0,ThieAd00
51,Marquise Brown,ARI,25,WR,12,10,107,67,62.6%,709,10.6,3,33,44.9,47,6.6,5.6,59.1,1,BrowMa04
52,Dallas Goedert,PHI,27,TE,12,12,69,55,79.7%,702,12.8,3,40,69.6,31,10.2,4.6,58.5,1,GoedDa00
53,Brandin Cooks,HOU,29,WR,13,13,93,57,61.3%,699,12.3,3,29,47.3,44,7.5,4.4,53.8,0,CookBr00
54,Mack Hollins,LVR,29,WR,17,16,94,57,60.6%,690,12.1,4,34,51.1,60,7.3,3.4,40.6,0,HollMa00
55,Marquez Valdes-Scantling,KAN,28,WR,17,11,81,42,51.9%,687,16.4,2,32,48.1,57,8.5,2.5,40.4,0,ValdMa00
56,Curtis Samuel,WAS,26,WR,17,12,92,64,69.6%,656,10.3,4,36,46.7,49,7.1,3.8,38.6,1,SamuCu00
57,K.J. Osborn,MIN,25,WR,17,9,90,60,66.7%,650,10.8,5,32,58.9,66,7.2,3.5,38.2,1,OsboKJ00
58,Deebo Samuel,SFO,26,WR,13,12,94,56,59.6%,632,11.3,2,25,47.9,57,6.7,4.3,48.6,3,SamuDe00
59,David Njoku,CLE,26,TE,14,14,80,58,72.5%,628,10.8,4,36,61.3,38,7.9,4.1,44.9,1,NjokDa00
60,Parris Campbell,IND,25,WR,17,16,91,63,69.2%,623,9.9,3,32,54.9,49,6.8,3.7,36.6,1,CampPa00
61,Tyler Higbee,LAR,29,TE,17,17,108,72,66.7%,620,8.6,3,32,51.9,26,5.7,4.2,36.5,0,HigbTy00
62,Kalif Raymond,DET,28,WR,17,7,64,47,73.4%,616,13.1,0,24,56.3,56,9.6,2.8,36.2,3,RaymKa00
63,Christian Watson,GNB,23,WR,14,11,66,41,62.1%,611,14.9,7,28,50.0,63,9.3,2.9,43.6,0,WatsCh00
64,Alec Pierce,IND,22,WR,16,12,78,41,52.6%,593,14.5,2,28,46.2,47,7.6,2.6,37.1,1,PierAl00
65,Dalton Schultz,DAL,26,TE,15,15,89,57,64.0%,577,10.1,5,27,55.1,30,6.5,3.8,38.5,1,SchuDa00
66,Richie James,NYG,27,WR,17,4,70,57,81.4%,569,10.0,4,29,61.4,33,8.1,3.4,33.5,3,JameRi00
67,Gerald Everett,LAC,28,TE,16,11,87,58,66.7%,555,9.6,4,29,48.3,26,6.4,3.6,34.7,0,EverGe00
68,Noah Brown,DAL,26,WR,16,13,74,43,58.1%,555,12.9,3,25,48.6,51,7.5,2.7,34.7,1,BrowNo00
69,Tyler Conklin,NYJ,27,TE,17,16,87,58,66.7%,552,9.5,3,25,44.8,30,6.3,3.4,32.5,2,ConkTy00
70,Chris Moore,HOU,29,WR,16,7,74,48,64.9%,548,11.4,2,24,47.3,52,7.4,3.0,34.3,0,MoorCh00
71,Cole Kmet,CHI,23,TE,17,17,69,50,72.5%,544,10.9,7,27,59.4,50,7.9,2.9,32.0,1,KmetCo00
72,DeVante Parker,NWE,29,WR,13,11,47,31,66.0%,539,17.4,3,25,59.6,43,11.5,2.4,41.5,0,ParkDe01
73,DeAndre Carter,LAC,29,WR,17,7,65,46,70.8%,538,11.7,3,29,53.8,35,8.3,2.7,31.6,3,CartDe02
74,Corey Davis,NYJ,27,WR,13,10,64,32,50.0%,536,16.8,2,28,48.4,66,8.4,2.5,41.2,0,DaviCo03
75,Olamide Zaccheaus,ATL,25,WR,17,13,61,40,65.6%,533,13.3,3,25,52.5,45,8.7,2.4,31.4,1,ZaccOl01
76,Marvin Jones,JAX,32,WR,16,10,81,46,56.8%,529,11.5,3,29,51.9,37,6.5,2.9,33.1,0,JoneMa02
77,Robert Woods,TEN,30,WR,17,15,91,53,58.2%,527,9.9,2,31,50.5,41,5.8,3.1,31.0,1,WoodRo02
78,Leonard Fournette,TAM,27,RB,16,9,83,73,88.0%,523,7.2,3,26,55.4,44,6.3,4.6,32.7,0,FourLe00
79,Jahan Dotson,WAS,22,WR,12,10,61,35,57.4%,523,14.9,7,26,50.8,61,8.6,2.9,43.6,0,DotsJa00
80,Dawson Knox*,BUF,26,TE,15,15,65,48,73.8%,517,10.8,6,25,60.0,45,8.0,3.2,34.5,0,KnoxDa00
81,Jerick McKinnon,KAN,30,RB,17,0,71,56,78.9%,512,9.1,9,28,54.9,56,7.2,3.3,30.1,1,McKiJe00
82,Hunter Henry,NWE,28,TE,17,14,59,41,69.5%,509,12.4,2,23,50.8,39,8.6,2.4,29.9,0,HenrHu00
83,Juwan Johnson,NOR,26,TE,16,12,65,42,64.6%,508,12.1,7,25,52.3,41,7.8,2.6,31.8,0,JohnJu02
84,DJ Chark,DET,26,WR,11,10,52,30,57.7%,502,16.7,3,24,51.9,51,9.7,2.7,45.6,0,CharDJ00
85,Jordan Akins,HOU,30,TE,15,3,54,37,68.5%,495,13.4,5,23,53.7,46,9.2,2.5,33.0,1,AkinJo00
86,Darnell Mooney,CHI,25,WR,12,12,61,40,65.6%,493,12.3,2,20,45.9,56,8.1,3.3,41.1,0,MoonDa00
87,Alvin Kamara,NOR,27,RB,15,13,77,57,74.0%,490,8.6,2,17,46.8,54,6.4,3.8,32.7,4,KamaAl00
88,Terrace Marshall Jr.,CAR,22,WR,14,9,47,28,59.6%,490,17.5,1,24,53.2,43,10.4,2.0,35.0,2,MarsTe00
89,Rashid Shaheed,NOR,24,WR,12,6,34,28,82.4%,488,17.4,2,18,70.6,68,14.4,2.3,40.7,1,ShahRa00
90,Noah Fant,SEA,25,TE,17,16,63,50,79.4%,486,9.7,4,24,54.0,51,7.7,2.9,28.6,0,FantNo00
91,Nico Collins,HOU,23,WR,10,7,66,37,56.1%,481,13.0,2,21,42.4,58,7.3,3.7,48.1,0,CollNi00
