Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb,-9999
58,Marcus Mariota,ATL,29,QB,13,13,85,438,4,30,57.6,30,5.2,33.7,8,MariMa01
59,Breece Hall,NYJ,21,RB,7,2,80,463,4,20,50.0,62,5.8,66.1,1,HallBr03
60,Eno Benjamin,3TM,23,,15,3,77,313,2,14,46.8,45,4.1,20.9,0,BenjEn00
61,Jaylen Warren,PIT,24,RB,16,0,77,379,1,20,53.2,31,4.9,23.7,1,WarrJa01
62,Caleb Huntley,ATL,24,RB,12,0,76,366,1,18,61.8,30,4.8,30.5,1,HuntCa02
63,Joe Burrow*,CIN,26,QB,16,16,75,257,5,28,49.3,23,3.4,16.1,6,BurrJo01
64,Alexander Mattison,MIN,24,RB,17,0,74,283,5,21,47.3,15,3.8,16.6,0,MattAl01
65,Jerick McKinnon,KAN,30,RB,17,0,72,291,1,12,45.8,30,4.0,17.1,1,McKiJe00
66,Clyde Edwards-Helaire,KAN,23,RB,10,6,71,302,3,15,49.3,52,4.3,30.2,0,EdwaCl00
67,Darrell Henderson,LAR,25,RB,10,7,70,283,3,14,42.9,23,4.0,28.3,0,HendDa00
68,Joshua Kelley,LAC,25,RB,13,1,69,287,2,16,56.5,22,4.2,22.1,0,KellJo01
69,Chase Edmonds,2TM,26,RB,13,3,68,245,2,8,42.6,28,3.6,18.8,0,EdmoCh00
70,Deon Jackson,IND,23,RB,16,2,68,236,1,13,38.2,17,3.5,14.8,1,JackDe02
71,Geno Smith*,SEA,32,QB,17,17,68,366,1,24,55.9,25,5.4,21.5,8,SmitGe00
72,Kyler Murray,ARI,25,QB,11,11,67,418,3,23,61.2,42,6.2,38.0,8,MurrKy00
73,Mark Ingram,NOR,33,RB,10,3,62,233,1,12,46.8,14,3.8,23.3,2,IngrMa01
74,Trevor Lawrence*,JAX,23,QB,17,17,62,291,5,27,59.7,24,4.7,17.1,12,LawrTr00
75,Patrick Mahomes*+,KAN,27,QB,17,17,61,358,4,25,59.0,20,5.9,21.1,5,MahoPa00
76,Rashaad Penny,SEA,26,RB,5,5,57,346,2,15,47.4,41,6.1,69.2,1,PennRa00
77,Kenny Pickett,PIT,24,QB,13,12,55,237,3,23,60.0,23,4.3,18.2,4,PickKe00
78,Russell Wilson,DEN,34,QB,15,15,55,277,3,21,50.9,19,5.0,18.5,6,WilsRu00
79,Matt Breida,NYG,27,RB,17,1,54,220,1,13,50.0,18,4.1,12.9,0,BreiMa00
80,Justin Herbert,LAC,24,QB,17,17,54,147,0,17,40.7,23,2.7,8.6,8,HerbJu00
81,Boston Scott,PHI,27,RB,15,2,54,217,3,12,46.3,21,4.0,14.5,0,ScotBo02
82,Kenneth Gainwell,PHI,23,RB,17,0,53,240,4,17,62.3,13,4.5,14.1,0,GainKe00
83,Jacoby Brissett,CLE,30,QB,16,11,49,243,2,28,65.3,22,5.0,15.2,6,BrisJa00
84,Justice Hill,BAL,25,RB,15,0,49,262,0,15,59.2,34,5.3,17.5,2,HillJu00
85,Mac Jones,NWE,24,QB,14,14,47,102,1,12,34.0,15,2.2,7.3,5,JoneMa05
86,Javonte Williams,DEN,22,RB,4,4,47,204,0,9,48.9,17,4.3,51.0,1,WillJa10
87,Jamycal Hasty,JAX,26,RB,17,0,46,194,2,7,37.0,61,4.2,11.4,0,HastJa02
88,Elijah Mitchell,SFO,24,RB,5,1,45,279,2,15,71.1,37,6.2,55.8,0,MitcEl00
89,Dak Prescott,DAL,29,QB,12,12,45,182,1,19,51.1,25,4.0,15.2,4,PresDa01
90,Tyler Huntley*,BAL,24,QB,6,4,43,137,1,12,39.5,14,3.2,22.8,3,HuntTy01
91,Jordan Mason,SFO,23,RB,16,0,43,258,1,10,58.1,55,6.0,16.1,0,MasoJo00
