Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds▼,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Player-additional
35,Alex Smith,WAS,36,QB,8,6,5-1-0,168,252,66.7,1582,6,2.4,8,3.2,73,43.4,68,6.3,5.3,9.4,197.8,78.5,28.2,22,139,8.0,5.27,4.39,1,1,SmitAl03
36,Dwayne Haskins,WAS,23,QB,7,6,1-5-0,148,241,61.4,1439,5,2.1,7,2.9,73,37.9,50,6.0,5.1,9.7,205.6,73.0,24.8,20,141,7.7,4.97,4.15,1,1,HaskDw00
37,Jimmy Garoppolo,SFO,29,QB,6,6,3-3-0,94,140,67.1,1096,7,5.0,5,3.6,55,49.0,76,7.8,7.2,11.7,182.7,92.4,54.0,11,77,7.3,6.75,6.19,,,GaroJi00
38,Mike Glennon,JAX,31,QB,5,5,0-5-0,111,179,62.0,1072,7,3.9,5,2.8,57,43.1,46,6.0,5.5,9.7,214.4,80.1,29.8,9,53,4.8,5.42,4.97,,,GlenMi00
39,Jalen Hurts,PHI,22,QB,15,4,1-3-0,77,148,52.0,1061,6,4.1,4,2.7,45,38.5,81,7.2,6.8,13.8,70.7,77.6,33.8,13,59,8.1,6.22,5.85,,,HurtJa00
40,Taysom Hill,NOR,30,WR/QB,16,8,3-1-0,88,121,72.7,928,4,3.3,2,1.7,45,45.2,44,7.7,7.6,10.5,58.0,98.8,51.1,14,87,10.4,6.23,6.16,,,HillTa00
41,Brandon Allen,CIN,28,QB,5,5,1-4-0,90,142,63.4,925,5,3.5,4,2.8,42,45.6,72,6.5,6.0,10.3,185.0,82.0,37.5,7,51,4.7,5.87,5.33,1,1,AlleBr00
42,Joe Flacco,NYJ,35,QB,5,4,0-4-0,74,134,55.2,864,6,4.5,3,2.2,36,41.8,52,6.4,6.3,11.7,172.8,80.6,50.3,7,69,5.0,5.64,5.53,,,FlacJo00
43,C.J. Beathard,SFO,27,QB,6,2,1-1-0,66,104,63.5,787,6,5.8,0,0.0,42,46.9,49,7.6,8.7,11.9,131.2,105.7,46.0,9,71,8.0,6.34,7.40,,,BeatC.00
44,Jake Luton,JAX,24,QB,3,3,0-3-0,60,110,54.5,624,2,1.8,6,5.5,31,41.0,73,5.7,3.6,10.4,208.0,54.5,32.8,7,52,6.0,4.89,2.92,,,LutoJa00
45,Kyle Allen,WAS,24,QB,4,4,1-3-0,60,87,69.0,610,4,4.6,1,1.1,30,46.8,52,7.0,7.4,10.2,152.5,99.3,68.2,7,44,7.4,6.02,6.39,,,AlleKy00
46,Jeff Driskel,DEN,27,QB,3,1,0-1-0,35,64,54.7,432,3,4.7,2,3.1,18,33.3,45,6.8,6.3,12.3,144.0,78.4,36.1,11,98,14.7,4.45,4.05,,,DrisJe00
47,Colt McCoy,NYG,34,QB,4,2,1-1-0,40,66,60.6,375,1,1.5,1,1.5,19,36.6,35,5.7,5.3,9.4,93.8,75.0,29.7,5,24,7.0,4.94,4.59,,,McCoCo00
48,P.J. Walker,CAR,25,QB,4,1,1-0-0,32,56,57.1,368,1,1.8,5,8.9,17,36.7,52,6.6,2.9,11.5,92.0,45.8,9.6,4,31,6.7,5.62,2.20,,,WalkPh00
49,Mason Rudolph,PIT,25,QB,5,1,0-1-0,25,43,58.1,324,2,4.7,1,2.3,13,36.4,47,7.5,7.4,13.0,64.8,87.7,72.7,1,8,2.3,7.18,7.07,,,RudoMa00
50,Brett Rypien,DEN,24,QB,3,1,1-0-0,27,40,67.5,295,2,5.0,4,10.0,12,48.8,48,7.4,3.9,10.9,98.3,66.1,50.3,1,0,2.4,7.20,3.78,1,1,RypiBr00
51,Chase Daniel,DET,34,QB,4,0,,29,43,67.4,264,1,2.3,2,4.7,14,45.7,28,6.1,4.5,9.1,66.0,72.2,15.9,3,29,6.5,5.11,3.59,,,DaniCh00
52,Jarrett Stidham,NWE,24,QB,5,0,,22,44,50.0,256,2,4.5,3,6.8,12,33.3,38,5.8,3.7,11.6,51.2,54.7,12.2,4,21,8.3,4.90,2.92,,,StidJa00
53,Chad Henne,KAN,35,QB,3,1,0-1-0,28,38,73.7,248,2,5.3,0,0.0,15,50.0,37,6.5,7.6,8.9,82.7,108.2,26.3,2,4,5.0,6.10,7.10,,,HennCh01
54,Garrett Gilbert,DAL,29,QB,1,1,0-1-0,21,38,55.3,243,1,2.6,1,2.6,10,42.5,32,6.4,5.7,11.6,243.0,72.6,56.8,2,23,5.0,5.50,4.88,,,GilbGa01
55,John Wolford,LAR,25,QB,1,1,1-0-0,22,38,57.9,231,0,0.0,1,2.6,12,35.0,38,6.1,4.9,10.5,231.0,64.7,68.5,2,8,5.0,5.58,4.45,,,WolfJo00
56,Marcus Mariota,LVR,27,QB,1,0,,17,28,60.7,226,1,3.6,1,3.6,11,46.4,35,8.1,7.2,13.3,226.0,83.3,97.4,0,0,0.0,8.07,7.18,,,MariMa01
57,Ben DiNucci,DAL,24,QB,3,1,0-1-0,23,43,53.5,219,0,0.0,0,0.0,11,34.0,32,5.1,5.1,9.5,73.0,67.9,10.2,7,73,14.0,2.92,2.92,,,DiNuBe00
58,Tyrod Taylor,LAC,31,QB,2,1,1-0-0,16,30,53.3,208,0,0.0,0,0.0,10,37.5,37,6.9,6.9,13.0,104.0,75.4,16.6,2,1,6.3,6.47,6.47,1,1,TaylTy00
59,Matt Barkley,BUF,30,QB,5,0,,11,21,52.4,197,1,4.8,1,4.8,9,40.9,56,9.4,8.2,17.9,39.4,80.9,27.4,1,7,4.5,8.64,7.50,,,BarkMa00
60,Ryan Finley,CIN,26,QB,5,1,1-0-0,17,32,53.1,164,1,3.1,2,6.3,8,24.4,30,5.1,2.9,9.6,32.8,52.1,41.4,9,63,22.0,2.46,0.76,,,FinlRy00
61,Blaine Gabbert,TAM,31,QB,4,0,,9,16,56.3,143,2,12.5,0,0.0,5,41.2,35,8.9,11.4,15.9,35.8,125.8,53.1,1,7,5.9,8.00,10.35,,,GabbBl00
62,Taylor Heinicke,WAS,27,QB,1,0,,12,19,63.2,137,1,5.3,0,0.0,6,55.0,29,7.2,8.3,11.4,137.0,102.3,40.7,1,7,5.0,6.50,7.50,,,HeinTa00
63,Brian Hoyer,NWE,35,QB,1,1,0-1-0,15,24,62.5,130,0,0.0,1,4.2,8,42.3,25,5.4,3.5,8.7,130.0,59.4,22.4,2,18,7.7,4.31,2.58,,,HoyeBr00
64,Chris Streveler,ARI,25,QB,5,0,,11,16,68.8,105,1,6.3,1,6.3,5,33.3,19,6.6,5.0,9.5,21.0,81.5,29.6,2,10,11.1,5.28,3.89,,,StreCh00
65,Trace McSorley,BAL,25,QB,2,0,,3,10,30.0,90,1,10.0,0,0.0,2,20.0,70,9.0,11.0,30.0,45.0,97.9,28.9,0,0,0.0,9.00,11.00,,,McSoTr00
66,Jameis Winston,NOR,26,QB,4,0,,7,11,63.6,75,0,0.0,0,0.0,5,38.5,19,6.8,6.8,10.7,18.8,83.5,12.0,2,11,15.4,4.92,4.92,,,WinsJa00
67,Jarvis Landry,CLE,28,WR,15,14,,4,4,100.0,74,1,25.0,0,0.0,4,100.0,37,18.5,23.5,18.5,4.9,158.3,100.0,0,0,0.0,18.50,23.50,,,LandJa00
68,David Blough,DET,25,QB,1,0,,6,10,60.0,49,0,0.0,1,10.0,1,27.3,20,4.9,0.4,8.2,49.0,32.9,11.2,1,10,9.1,3.55,-0.55,,,BlouDa00
69,Case Keenum,CLE,32,QB,2,0,,5,10,50.0,46,0,0.0,0,0.0,2,40.0,24,4.6,4.6,9.2,23.0,62.9,34.7,0,0,0.0,4.60,4.60,,,KeenCa00
70,Jamison Crowder,NYJ,27,WR,12,7,,1,1,100.0,43,1,100.0,0,0.0,1,100.0,43,43.0,63.0,43.0,3.6,158.3,100.0,0,0,0.0,43.00,63.00,,,CrowJa00
71,Jakobi Meyers,NWE,24,WR,14,9,,2,2,100.0,43,2,100.0,0,0.0,2,100.0,24,21.5,41.5,21.5,3.1,158.3,100.0,0,0,0.0,21.50,41.50,,,MeyeJa01
72,Robert Griffin III,BAL,30,QB,4,1,0-1-0,8,14,57.1,42,0,0.0,2,14.3,1,23.5,9,3.0,-3.4,5.3,10.5,22.6,20.2,3,20,17.6,1.29,-4.00,,,GrifRo01
73,Russell Gage,ATL,24,WR,16,8,,1,2,50.0,39,1,50.0,0,0.0,1,50.0,39,19.5,29.5,39.0,2.4,135.4,100.0,0,0,0.0,19.50,29.50,,,GageRu00
74,Julian Edelman,NWE,34,WR,6,1,,2,2,100.0,38,0,0.0,0,0.0,2,100.0,22,19.0,19.0,19.0,6.3,118.7,98.0,0,0,0.0,19.00,19.00,,,EdelJu00
75,Geno Smith,SEA,30,QB,1,0,,4,5,80.0,33,0,0.0,0,0.0,3,50.0,14,6.6,6.6,8.3,33.0,94.2,3.9,1,3,16.7,5.00,5.00,,,SmitGe00
76,Lynn Bowden Jr.,MIA,23,WR,10,4,,1,2,50.0,32,0,0.0,0,0.0,1,50.0,32,16.0,16.0,32.0,3.2,95.8,32.9,0,0,0.0,16.00,16.00,,,BowdLy00
77,Nate Sudfeld,PHI,27,QB,1,0,,5,12,41.7,32,0,0.0,1,8.3,1,21.4,10,2.7,-1.1,6.4,32.0,14.6,1.6,2,16,14.3,1.14,-2.07,,,SudfNa00
78,Zay Jones,LVR,25,WR,16,2,,1,1,100.0,29,0,0.0,0,0.0,1,100.0,29,29.0,29.0,29.0,1.8,118.7,100.0,0,0,0.0,29.00,29.00,,,JoneZa00
79,Joseph Charlton,CAR,23,P,16,0,,1,1,100.0,28,0,0.0,0,0.0,1,0.0,28,28.0,28.0,28.0,1.8,118.7,99.9,1,5,50.0,11.50,11.50,,,CharJo01
80,Logan Thomas,WAS,29,TE,16,15,,1,1,100.0,28,0,0.0,0,0.0,1,100.0,28,28.0,28.0,28.0,1.8,118.7,40.1,0,0,0.0,28.00,28.00,,,ThomLo00
81,Andy Lee,ARI,38,P,16,0,,1,1,100.0,26,0,0.0,0,0.0,1,0.0,26,26.0,26.0,26.0,1.6,118.7,,0,0,0.0,26.00,26.00,,,LeexAn20
82,Nathan Peterman,LVR,26,QB,1,0,,3,5,60.0,25,0,0.0,0,0.0,1,28.6,12,5.0,5.0,8.3,25.0,72.9,24.3,2,16,28.6,1.29,1.29,,,PeteNa00
83,Cedrick Wilson Jr.,DAL,25,WR,16,0,,2,2,100.0,23,1,50.0,0,0.0,1,50.0,12,11.5,21.5,11.5,1.4,154.2,99.3,0,0,0.0,11.50,21.50,,,WilsCe01
84,Cole Beasley,BUF,31,WR,15,10,,1,1,100.0,20,1,100.0,0,0.0,1,100.0,20,20.0,40.0,20.0,1.3,158.3,100.0,0,0,0.0,20.00,40.00,,,BeasCo00
85,A.J. McCarron,HOU,30,QB,2,0,,1,1,100.0,20,0,0.0,0,0.0,1,0.0,20,20.0,20.0,20.0,10.0,118.7,0.0,1,12,50.0,4.00,4.00,,,McCaA.00
86,Odell Beckham Jr.,CLE,28,WR,7,7,,1,1,100.0,18,0,0.0,0,0.0,1,100.0,18,18.0,18.0,18.0,2.6,118.7,98.9,0,0,0.0,18.00,18.00,,,BeckOd00
87,Tyler Bray,CHI,29,QB,1,0,,1,5,20.0,18,0,0.0,0,0.0,1,20.0,18,3.6,3.6,18.0,18.0,42.1,7.5,0,0,0.0,3.60,3.60,,,BrayTy00
88,Golden Tate,NYG,32,WR,12,4,,1,2,50.0,18,0,0.0,0,0.0,1,50.0,18,9.0,9.0,18.0,1.5,81.2,4.8,0,0,0.0,9.00,9.00,,,TateGo00
89,Jacoby Brissett,IND,28,QB,11,0,,2,8,25.0,17,0,0.0,0,0.0,1,10.0,13,2.1,2.1,8.5,1.5,39.6,58.3,2,15,20.0,0.20,0.20,,,BrisJa00
90,Tyler Boyd,CIN,26,WR,15,8,,1,2,50.0,16,0,0.0,0,0.0,1,50.0,16,8.0,8.0,16.0,1.1,77.1,48.0,0,0,0.0,8.00,8.00,,,BoydTy00
91,Tyler Huntley,BAL,22,QB,2,0,,3,5,60.0,15,0,0.0,0,0.0,0,20.0,8,3.0,3.0,5.0,7.5,64.6,1.4,0,0,0.0,3.00,3.00,,,HuntTy01
92,Sam Koch,BAL,38,P,15,0,,1,1,100.0,15,0,0.0,0,0.0,1,0.0,15,15.0,15.0,15.0,1.0,118.7,,0,0,0.0,15.00,15.00,,,KochSa20
93,Greg Ward,PHI,25,WR,16,10,,1,1,100.0,15,0,0.0,0,0.0,1,100.0,15,15.0,15.0,15.0,0.9,118.7,0.7,0,0,0.0,15.00,15.00,,,WardGr02
94,Kendall Hinton,DEN,23,WR,1,0,,1,9,11.1,13,0,0.0,2,22.2,1,10.0,13,1.4,-8.6,13.0,13.0,0.0,0.1,1,1,10.0,1.20,-7.80,,,HintKe00
95,Jaquan Johnson,BUF,25,DB,14,0,,1,1,100.0,13,0,0.0,0,0.0,1,0.0,13,13.0,13.0,13.0,0.9,118.7,,0,0,0.0,13.00,13.00,,,JohnJa11
96,Tommy Townsend,KAN,24,P,16,0,,1,1,100.0,13,0,0.0,0,0.0,1,0.0,13,13.0,13.0,13.0,0.8,118.7,10.6,0,0,0.0,13.00,13.00,,,TownTo01
97,Isaiah McKenzie,BUF,25,WR,16,7,,1,1,100.0,12,1,100.0,0,0.0,1,100.0,12,12.0,32.0,12.0,0.8,156.2,88.2,0,0,0.0,12.00,32.00,,,McKeIs00
98,Logan Woodside,TEN,25,QB,6,0,,1,3,33.3,7,0,0.0,0,0.0,1,0.0,7,2.3,2.3,7.0,1.2,42.4,65.1,0,0,0.0,2.33,2.33,,,WoodLo00
99,Travis Kelce*+,KAN,31,TE,15,15,,1,2,50.0,4,0,0.0,0,0.0,1,50.0,4,2.0,2.0,4.0,0.3,56.2,55.2,0,0,0.0,2.00,2.00,,,KelcTr00
100,Easton Stick,LAC,25,QB,1,0,,1,1,100.0,4,0,0.0,0,0.0,0,100.0,4,4.0,4.0,4.0,4.0,83.3,1.3,0,0,0.0,4.00,4.00,,,SticEa00
101,Joshua Dobbs,PIT,25,QB,1,0,,4,5,80.0,2,0,0.0,0,0.0,0,0.0,3,0.4,0.4,0.5,2.0,79.2,48.7,0,0,0.0,0.40,0.40,,,DobbJo00
102,Jamal Agnew,DET,25,WR,14,2,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.9,0,0,0.0,0.00,0.00,,,AgneJa00
103,Keenan Allen*,LAC,28,WR,14,13,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.4,0,0,0.0,0.00,0.00,,,AlleKe00
104,Randall Cobb,HOU,30,WR,10,2,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,2.8,0,0,0.0,0.00,0.00,,,CobbRa00
105,Riley Dixon,NYG,27,P,16,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.0,0.00,0.00,,,DixoRi00
106,Alex Erickson,CIN,28,WR,16,2,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,8.4,0,0,0.0,0.00,0.00,,,EricAl01
107,Chris Jones,DAL,31,P,8,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.0,0.00,0.00,,,JoneCh02
108,Brett Kern,TEN,34,P,13,0,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,0.0,0,0,0.0,0.00,0.00,,,KernBr20
109,D.J. Moore,CAR,23,WR,15,14,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,,0,0,0.0,0.00,0.00,,,MoorD.00
110,Zach Pascal,IND,26,WR,16,14,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,1.8,0,0,0.0,0.00,0.00,,,PascZa00
111,Sammy Watkins,KAN,27,WR,10,9,,0,1,0.0,0,0,0.0,1,100.0,0,0.0,0,0.0,-45.0,,0.0,0.0,0.0,0,0,0.0,0.00,-45.00,,,WatkSa00
112,Isaiah Wright,WAS,23,WR,14,6,,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,,0.0,39.6,2.8,0,0,0.0,0.00,0.00,,,WrigIs01
