Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds▼,Y/R,TD,1D,Succ%,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Michael Thomas*+,NOR,26,WR,16,15,185,149,80.5%,1725,11.6,9,91,70.8,49,9.3,9.3,107.8,1,ThomMi05
2,Julio Jones*,ATL,30,WR,15,15,157,99,63.1%,1394,14.1,6,77,55.4,54,8.9,6.6,92.9,1,JoneJu02
3,Chris Godwin*,TAM,23,WR,14,14,121,86,71.1%,1333,15.5,9,63,60.3,71,11.0,6.1,95.2,0,GodwCh00
4,Travis Kelce*,KAN,30,TE,16,16,136,97,71.3%,1229,12.7,5,65,64.0,47,9.0,6.1,76.8,1,KelcTr00
5,DeVante Parker,MIA,26,WR,16,14,128,72,56.3%,1202,16.7,9,58,53.1,51,9.4,4.5,75.1,0,ParkDe01
6,Keenan Allen*,LAC,27,WR,16,16,149,104,69.8%,1199,11.5,6,63,59.1,45,8.0,6.5,74.9,0,AlleKe00
7,Kenny Golladay*,DET,26,WR,16,16,116,65,56.0%,1190,18.3,11,52,50.9,75,10.3,4.1,74.4,1,GollKe00
8,Amari Cooper*,DAL,25,WR,16,16,119,79,66.4%,1189,15.1,8,54,63.0,53,10.0,4.9,74.3,0,CoopAm00
9,D.J. Moore,CAR,22,WR,15,15,135,87,64.4%,1175,13.5,4,63,58.5,52,8.7,5.8,78.3,2,MoorD.00
10,Jarvis Landry*,CLE,27,WR,16,16,138,83,60.1%,1174,14.1,6,55,52.2,65,8.5,5.2,73.4,0,LandJa00
11,DeAndre Hopkins*+,HOU,27,WR,15,15,150,104,69.3%,1165,11.2,7,68,58.7,43,7.8,6.9,77.7,0,HopkDe00
12,Cooper Kupp,LAR,26,WR,16,14,134,94,70.1%,1161,12.4,10,51,53.0,66,8.7,5.9,72.6,3,KuppCo00
13,Mike Evans*,TAM,26,WR,13,13,118,67,56.8%,1157,17.3,8,54,55.1,67,9.8,5.2,89.0,0,EvanMi00
14,Allen Robinson,CHI,26,WR,16,15,154,98,63.6%,1147,11.7,7,63,57.1,49,7.4,6.1,71.7,0,RobiAl02
15,Darren Waller,OAK,27,TE,16,16,117,90,76.9%,1145,12.7,3,53,64.1,75,9.8,5.6,71.6,1,WallDa01
